sku_id,brand,model,product_name
APPLE-A1660,Apple,A1660,Apple A1660
DELL-LATITUDE-5491,Dell,Latitude 5491,Dell Latitude 5491
DELL-DC15250,Dell,DC15250,Dell DC15250
SONY-MODEL-61,Sony,Model 61,Sony Model 61
APPLE-A2633,Apple,A2633,Apple A2633
HP-15-FB3093DX,HP,15-fb3093dx,HP 15-fb3093dx
HP-14-EM0002WM,HP,14-em0002wm,HP 14-em0002wm
HP-16-BY0015DX,HP,16-by0015dx,HP 16-by0015dx
SAMSUNG-NP750XQB-KA2US,Samsung,NP750XQB-KA2US,Samsung NP750XQB-KA2US
HP-14-DQ6103DX,HP,14-dq6103dx,HP 14-dq6103dx
HP-16-AF1095CL,HP,16-af1095cl,HP 16-af1095cl
HP-16-AU0773CL,HP,16-au0773cl,HP 16-au0773cl
HP-14-DQ6012DX,HP,14-dq6012dx,HP 14-dq6012dx
HP-17-DP0105DX,HP,17-dp0105dx,HP 17-dp0105dx
HP-16-AP0097NR,HP,16-ap0097nr,HP 16-ap0097nr
HP-15-FC0057WM,HP,15-fc0057wm,HP 15-fc0057wm
HP-17-DP0199NR,HP,17-dp0199nr,HP 17-dp0199nr
HP-16-BU0007DX,HP,16-bu0007dx,HP 16-bu0007dx
HP-16-BU0305DX,HP,16-bu0305dx,HP 16-bu0305dx
HP-15-FD0153DX,HP,15-FD0153DX,HP 15-FD0153DX
HP-14-KC0013DX,HP,14-kc0013dx,HP 14-kc0013dx
HP-16-BE0005CL,HP,16-be0005cl,HP 16-be0005cl
DELL-DC16256,Dell,DC16256,Dell DC16256
DELL-DC15205,Dell,DC15205,Dell DC15205
