sku,component,failure_date,failure_type,failure_count
APPLE-A1660,Battery,2025-01-15,Battery Degradation,4
APPLE-A1660,Display,2025-01-26,Screen Failure,2
APPLE-A1660,Mainboard,2025-02-06,Power Failure,1
APPLE-A1660,Camera,2025-02-17,Camera Failure,3
DELL-LATITUDE-5491,Battery,2025-02-28,Battery Degradation,3
DELL-LATITUDE-5491,Display,2025-03-11,Screen Failure,2
DELL-LATITUDE-5491,Mainboard,2025-03-22,Power Failure,2
DELL-LATITUDE-5491,Keyboard,2025-04-02,Keyboard Failure,1
DELL-DC15250,Battery,2025-04-13,Battery Degradation,3
DELL-DC15250,Display,2025-04-24,Screen Failure,3
DELL-DC15250,Mainboard,2025-05-05,Power Failure,1
DELL-DC15250,Keyboard,2025-05-16,Keyboard Failure,1
SONY-MODEL-61,Battery,2025-05-27,Battery Degradation,4
SONY-MODEL-61,Driver,2025-06-07,Audio Failure,2
SONY-MODEL-61,Mainboard,2025-06-18,Power Failure,1
SONY-MODEL-61,Controls,2025-06-29,Control Failure,2
APPLE-A2633,Battery,2025-07-10,Battery Degradation,3
APPLE-A2633,Display,2025-07-21,Screen Failure,2
APPLE-A2633,Mainboard,2025-08-01,Power Failure,2
APPLE-A2633,Camera,2025-08-12,Camera Failure,2
HP-15-FB3093DX,Battery,2025-08-23,Battery Degradation,3
HP-15-FB3093DX,Display,2025-09-03,Screen Failure,3
HP-15-FB3093DX,Mainboard,2025-09-14,Power Failure,1
HP-15-FB3093DX,Keyboard,2025-09-25,Keyboard Failure,1
HP-14-EM0002WM,Battery,2025-10-06,Battery Degradation,4
HP-14-EM0002WM,Display,2025-10-17,Screen Failure,2
HP-14-EM0002WM,Mainboard,2025-10-28,Power Failure,1
HP-14-EM0002WM,Keyboard,2025-11-08,Keyboard Failure,2
HP-16-BY0015DX,Battery,2025-11-19,Battery Degradation,3
HP-16-BY0015DX,Display,2025-11-30,Screen Failure,2
HP-16-BY0015DX,Mainboard,2025-12-11,Power Failure,2
HP-16-BY0015DX,Keyboard,2025-12-22,Keyboard Failure,1
SAMSUNG-NP750XQB-KA2US,Battery,2026-01-02,Battery Degradation,3
SAMSUNG-NP750XQB-KA2US,Display,2026-01-13,Screen Failure,3
SAMSUNG-NP750XQB-KA2US,Mainboard,2026-01-24,Power Failure,1
SAMSUNG-NP750XQB-KA2US,Camera,2026-02-04,Camera Failure,2
HP-14-DQ6103DX,Battery,2026-02-15,Battery Degradation,4
HP-14-DQ6103DX,Display,2026-02-26,Screen Failure,2
HP-14-DQ6103DX,Mainboard,2026-03-09,Power Failure,1
HP-14-DQ6103DX,Keyboard,2026-03-20,Keyboard Failure,2
HP-16-AF1095CL,Battery,2026-03-31,Battery Degradation,3
HP-16-AF1095CL,Display,2026-04-11,Screen Failure,2
HP-16-AF1095CL,Mainboard,2026-04-22,Power Failure,2
HP-16-AF1095CL,Keyboard,2026-05-03,Keyboard Failure,1
HP-16-AU0773CL,Battery,2026-05-14,Battery Degradation,3
HP-16-AU0773CL,Display,2026-05-25,Screen Failure,3
HP-16-AU0773CL,Mainboard,2025-01-21,Power Failure,1
HP-16-AU0773CL,Keyboard,2025-02-01,Keyboard Failure,1
HP-14-DQ6012DX,Battery,2025-02-12,Battery Degradation,4
HP-14-DQ6012DX,Display,2025-02-23,Screen Failure,2
HP-14-DQ6012DX,Mainboard,2025-03-06,Power Failure,1
HP-14-DQ6012DX,Keyboard,2025-03-17,Keyboard Failure,2
HP-17-DP0105DX,Battery,2025-03-28,Battery Degradation,3
HP-17-DP0105DX,Display,2025-04-08,Screen Failure,2
HP-17-DP0105DX,Mainboard,2025-04-19,Power Failure,2
HP-17-DP0105DX,Keyboard,2025-04-30,Keyboard Failure,1
HP-16-AP0097NR,Battery,2025-05-11,Battery Degradation,3
HP-16-AP0097NR,Display,2025-05-22,Screen Failure,3
HP-16-AP0097NR,Mainboard,2025-06-02,Power Failure,1
HP-16-AP0097NR,Keyboard,2025-06-13,Keyboard Failure,1
HP-15-FC0057WM,Battery,2025-06-24,Battery Degradation,4
HP-15-FC0057WM,Display,2025-07-05,Screen Failure,2
HP-15-FC0057WM,Mainboard,2025-07-16,Power Failure,1
HP-15-FC0057WM,Keyboard,2025-07-27,Keyboard Failure,2
HP-17-DP0199NR,Battery,2025-08-07,Battery Degradation,3
HP-17-DP0199NR,Display,2025-08-18,Screen Failure,2
HP-17-DP0199NR,Mainboard,2025-08-29,Power Failure,2
